volume;open;high;low;close;datetime
5412;0.2505;0.303;0.1556;0.1556;24.07.2025 12:47
11444;0.251;0.2592;0.2445;0.2515;24.07.2025 12:48
23818;0.241;0.2529;0.2385;0.2497;24.07.2025 12:49
17552;0.2376;0.2431;0.2356;0.2407;24.07.2025 12:50
9327;0.2325;0.2386;0.2312;0.2366;24.07.2025 12:51
22131;0.24;0.2436;0.2306;0.2322;24.07.2025 12:52
23936;0.2593;0.2634;0.24;0.2415;24.07.2025 12:53
13731;0.2545;0.2607;0.2472;0.2588;24.07.2025 12:54
7233;0.262;0.2645;0.253;0.2538;24.07.2025 12:55
11264;0.27;0.27;0.2612;0.262;24.07.2025 12:56
15263;0.2697;0.2747;0.2648;0.2699;24.07.2025 12:57
16494;0.2758;0.2758;0.2664;0.2699;24.07.2025 12:58
12859;0.2791;0.28;0.273;0.2743;24.07.2025 12:59
18284;0.2695;0.2782;0.2657;0.2772;24.07.2025 13:00
13677;0.2655;0.2706;0.2626;0.2706;24.07.2025 13:01
9307;0.2726;0.2743;0.2617;0.2642;24.07.2025 13:02
16298;0.2719;0.2786;0.2676;0.2721;24.07.2025 13:03
6196;0.2719;0.2748;0.2708;0.2717;24.07.2025 13:04
13761;0.2668;0.2725;0.266;0.272;24.07.2025 13:05
6396;0.2688;0.2694;0.265;0.2668;24.07.2025 13:06
7830;0.272;0.2744;0.2687;0.2688;24.07.2025 13:07
8603;0.2719;0.2744;0.267;0.2728;24.07.2025 13:08
12601;0.2688;0.2716;0.265;0.2711;24.07.2025 13:09
6401;0.2661;0.2693;0.2653;0.2674;24.07.2025 13:10
7993;0.2675;0.2685;0.2652;0.2663;24.07.2025 13:11
5483;0.2697;0.2715;0.2657;0.2669;24.07.2025 13:12
17002;0.2777;0.2804;0.2672;0.2693;24.07.2025 13:13
12974;0.2757;0.2804;0.274;0.2801;24.07.2025 13:14
13931;0.2697;0.2776;0.2671;0.2757;24.07.2025 13:15
29325;0.2605;0.2705;0.2586;0.2698;24.07.2025 13:16
27858;0.2626;0.2632;0.2502;0.2605;24.07.2025 13:17
8148;0.2564;0.2632;0.2536;0.2628;24.07.2025 13:18
4928;0.2591;0.2604;0.2556;0.2559;24.07.2025 13:19
5853;0.2599;0.2621;0.258;0.2591;24.07.2025 13:20
2678;0.262;0.2632;0.2599;0.2599;24.07.2025 13:21
12850;0.2654;0.2694;0.262;0.2624;24.07.2025 13:22
7757;0.2605;0.2676;0.2594;0.2664;24.07.2025 13:23
4289;0.2617;0.2644;0.2603;0.2603;24.07.2025 13:24
6263;0.2623;0.2635;0.2606;0.2611;24.07.2025 13:25
5471;0.2646;0.2649;0.2602;0.2613;24.07.2025 13:26
2154;0.2649;0.267;0.2629;0.2633;24.07.2025 13:27
4090;0.2632;0.2659;0.2626;0.2648;24.07.2025 13:28
2824;0.2631;0.2644;0.2602;0.263;24.07.2025 13:29
4890;0.2653;0.2663;0.2621;0.2631;24.07.2025 13:30
4912;0.2626;0.2667;0.2622;0.2653;24.07.2025 13:31
5210;0.266;0.266;0.2621;0.2625;24.07.2025 13:32
4063;0.2674;0.2681;0.2653;0.2657;24.07.2025 13:33
6150;0.2657;0.2678;0.2641;0.2673;24.07.2025 13:34
3745;0.2686;0.2688;0.2647;0.2654;24.07.2025 13:35
10120;0.2721;0.2723;0.2671;0.2686;24.07.2025 13:36
14751;0.2726;0.2744;0.2707;0.2713;24.07.2025 13:37
7429;0.2684;0.2743;0.2684;0.2726;24.07.2025 13:38
2957;0.2722;0.2722;0.2684;0.2684;24.07.2025 13:39
16141;0.2736;0.2771;0.2714;0.2722;24.07.2025 13:40
6140;0.2769;0.278;0.2727;0.2737;24.07.2025 13:41
11350;0.2745;0.28;0.2737;0.2772;24.07.2025 13:42
17491;0.2672;0.2755;0.2667;0.2745;24.07.2025 13:43
18783;0.2711;0.2747;0.2653;0.2672;24.07.2025 13:44
6415;0.2708;0.2725;0.27;0.2711;24.07.2025 13:45
4084;0.27;0.2719;0.2677;0.2708;24.07.2025 13:46
4865;0.2714;0.272;0.2689;0.2704;24.07.2025 13:47
4052;0.2716;0.273;0.2709;0.2715;24.07.2025 13:48
3172;0.2717;0.2728;0.2709;0.2714;24.07.2025 13:49
7237;0.2696;0.2732;0.2689;0.2721;24.07.2025 13:50
8106;0.2665;0.271;0.2651;0.27;24.07.2025 13:51
10099;0.2653;0.2673;0.2634;0.2665;24.07.2025 13:52
2082;0.2663;0.2666;0.265;0.2654;24.07.2025 13:53
4854;0.2618;0.2663;0.2611;0.266;24.07.2025 13:54
3221;0.2626;0.2638;0.2612;0.2624;24.07.2025 13:55
869;0.2632;0.2643;0.2616;0.263;24.07.2025 13:56
1565;0.2635;0.2656;0.2631;0.2637;24.07.2025 13:57
1708;0.2644;0.2654;0.2634;0.2643;24.07.2025 13:58
4679;0.268;0.268;0.2626;0.264;24.07.2025 13:59
6288;0.2684;0.2699;0.2668;0.2679;24.07.2025 14:00
1997;0.268;0.2687;0.2668;0.2678;24.07.2025 14:01
2228;0.2683;0.2693;0.2668;0.2678;24.07.2025 14:02
1390;0.2691;0.2692;0.2681;0.2682;24.07.2025 14:03
5038;0.2668;0.269;0.2653;0.2688;24.07.2025 14:04
5985;0.2645;0.2672;0.2628;0.2668;24.07.2025 14:05
7430;0.2619;0.2659;0.2608;0.2648;24.07.2025 14:06
5953;0.2627;0.2641;0.2617;0.2619;24.07.2025 14:07
5282;0.2636;0.2643;0.2615;0.2627;24.07.2025 14:08
8728;0.2684;0.27;0.264;0.264;24.07.2025 14:09
8959;0.2666;0.2682;0.2643;0.2678;24.07.2025 14:10
9124;0.2705;0.2724;0.2665;0.2669;24.07.2025 14:11
7460;0.2709;0.271;0.2691;0.2702;24.07.2025 14:12
6911;0.2662;0.2708;0.266;0.2699;24.07.2025 14:13
8629;0.2658;0.267;0.2653;0.2662;24.07.2025 14:14
2516;0.2664;0.267;0.2658;0.266;24.07.2025 14:15
1514;0.2662;0.267;0.2655;0.2665;24.07.2025 14:16
2734;0.2667;0.267;0.2661;0.2663;24.07.2025 14:17
1990;0.2663;0.2666;0.2658;0.2666;24.07.2025 14:18
3837;0.267;0.267;0.2661;0.2662;24.07.2025 14:19
12224;0.2661;0.2699;0.2661;0.267;24.07.2025 14:20
4227;0.2685;0.2693;0.266;0.2661;24.07.2025 14:21
6594;0.2665;0.269;0.265;0.2682;24.07.2025 14:22
8805;0.263;0.2671;0.2617;0.2665;24.07.2025 14:23
6125;0.2607;0.263;0.26;0.2629;24.07.2025 14:24
6013;0.2639;0.2648;0.2608;0.2608;24.07.2025 14:25
2778;0.2644;0.2648;0.263;0.2632;24.07.2025 14:26
2877;0.2639;0.265;0.2637;0.2644;24.07.2025 14:27
4351;0.2632;0.2645;0.2628;0.2636;24.07.2025 14:28
5482;0.2631;0.2645;0.262;0.2632;24.07.2025 14:29
4257;0.262;0.264;0.2616;0.2634;24.07.2025 14:30
7394;0.2624;0.2639;0.2615;0.262;24.07.2025 14:31
3683;0.2615;0.2636;0.2615;0.2624;24.07.2025 14:32
1039;0.2615;0.263;0.2615;0.2619;24.07.2025 14:33
10334;0.2635;0.2637;0.2605;0.2615;24.07.2025 14:34
3283;0.2616;0.2649;0.2613;0.2634;24.07.2025 14:35
9811;0.258;0.2625;0.257;0.2616;24.07.2025 14:36
3308;0.26;0.26;0.2575;0.258;24.07.2025 14:37
2561;0.2604;0.2615;0.26;0.26;24.07.2025 14:38
3215;0.2577;0.2607;0.2577;0.2604;24.07.2025 14:39
1505;0.2574;0.2587;0.257;0.2577;24.07.2025 14:40
5560;0.2545;0.2574;0.2537;0.2574;24.07.2025 14:41
3304;0.2522;0.2547;0.2518;0.2543;24.07.2025 14:42
5636;0.2499;0.2528;0.2486;0.2522;24.07.2025 14:43
14592;0.2514;0.2529;0.2496;0.2507;24.07.2025 14:44
7079;0.2525;0.2537;0.2506;0.2512;24.07.2025 14:45
4372;0.2542;0.2554;0.2529;0.2535;24.07.2025 14:46
3497;0.2565;0.2571;0.254;0.2543;24.07.2025 14:47
6069;0.2594;0.2612;0.2561;0.2564;24.07.2025 14:48
18248;0.2676;0.268;0.2591;0.2594;24.07.2025 14:49
12636;0.2688;0.2693;0.2664;0.2666;24.07.2025 14:50
3328;0.2662;0.2696;0.2662;0.2688;24.07.2025 14:51
8400;0.2632;0.2674;0.2631;0.2662;24.07.2025 14:52
2436;0.2642;0.2656;0.2638;0.264;24.07.2025 14:53
884;0.2653;0.2653;0.2642;0.265;24.07.2025 14:54
1842;0.2652;0.2656;0.2634;0.2651;24.07.2025 14:55
1154;0.2651;0.2653;0.2638;0.2648;24.07.2025 14:56
3538;0.2686;0.2686;0.2653;0.2653;24.07.2025 14:57
4041;0.2685;0.2703;0.2682;0.2682;24.07.2025 14:58
4273;0.2688;0.2698;0.2678;0.2688;24.07.2025 14:59
3919;0.2654;0.2699;0.2654;0.2687;24.07.2025 15:00
2036;0.265;0.2666;0.265;0.2655;24.07.2025 15:01
483;0.2646;0.2668;0.2646;0.2665;24.07.2025 15:02
1142;0.2653;0.2653;0.2646;0.2653;24.07.2025 15:03
2215;0.2634;0.2653;0.263;0.2653;24.07.2025 15:04
10755;0.2579;0.2634;0.2572;0.2632;24.07.2025 15:05
2404;0.2626;0.2629;0.2588;0.2588;24.07.2025 15:06
4928;0.2642;0.2644;0.262;0.2626;24.07.2025 15:07
3189;0.2653;0.2658;0.2637;0.2642;24.07.2025 15:08
779;0.2654;0.2662;0.2649;0.2654;24.07.2025 15:09
3301;0.2673;0.2678;0.2652;0.2657;24.07.2025 15:10
1439;0.268;0.268;0.266;0.2664;24.07.2025 15:11
3580;0.2694;0.2702;0.2673;0.268;24.07.2025 15:12
3344;0.2694;0.272;0.2694;0.2704;24.07.2025 15:13
968;0.2706;0.2706;0.2694;0.2694;24.07.2025 15:14
3053;0.2728;0.2729;0.2701;0.2701;24.07.2025 15:15
5335;0.2754;0.2769;0.2722;0.2728;24.07.2025 15:16
3349;0.2763;0.2766;0.275;0.2759;24.07.2025 15:17
20859;0.2755;0.2809;0.2754;0.2763;24.07.2025 15:18
16940;0.2672;0.276;0.2657;0.2755;24.07.2025 15:19
5803;0.2673;0.2688;0.266;0.2668;24.07.2025 15:20
20245;0.2577;0.2682;0.2571;0.2682;24.07.2025 15:21
7994;0.2605;0.2633;0.2574;0.2577;24.07.2025 15:22
6836;0.2596;0.2633;0.2565;0.2611;24.07.2025 15:23
3677;0.2596;0.2626;0.2588;0.261;24.07.2025 15:24
1199;0.2599;0.2615;0.2596;0.2596;24.07.2025 15:25
5172;0.2578;0.2604;0.2575;0.2596;24.07.2025 15:26
7970;0.2566;0.2586;0.2543;0.2576;24.07.2025 15:27
1278;0.2581;0.2585;0.2567;0.257;24.07.2025 15:28
2649;0.2588;0.26;0.2575;0.2579;24.07.2025 15:29
3844;0.26;0.26;0.2588;0.259;24.07.2025 15:30
8351;0.2545;0.26;0.2529;0.2593;24.07.2025 15:31
32529;0.2451;0.2545;0.2401;0.2545;24.07.2025 15:32
11075;0.2439;0.2456;0.2418;0.2451;24.07.2025 15:33
9004;0.2455;0.2461;0.2434;0.244;24.07.2025 15:34
9319;0.245;0.2462;0.2432;0.2452;24.07.2025 15:35
18794;0.2353;0.245;0.235;0.245;24.07.2025 15:36
30019;0.2357;0.2383;0.2265;0.2353;24.07.2025 15:37
25975;0.2327;0.2425;0.229;0.2361;24.07.2025 15:38
7650;0.2373;0.2376;0.2322;0.2327;24.07.2025 15:39
9554;0.2337;0.241;0.2313;0.2376;24.07.2025 15:40
14108;0.2296;0.238;0.2269;0.2351;24.07.2025 15:41
12907;0.2285;0.234;0.2265;0.2301;24.07.2025 15:42
8252;0.2329;0.2329;0.2262;0.2285;24.07.2025 15:43
8124;0.2373;0.2377;0.2319;0.2329;24.07.2025 15:44
18526;0.2254;0.2383;0.225;0.2373;24.07.2025 15:45
14217;0.2245;0.2293;0.2245;0.2262;24.07.2025 15:46
52578;0.22;0.2245;0.2131;0.2245;24.07.2025 15:47
24629;0.221;0.2235;0.2141;0.22;24.07.2025 15:48
27540;0.2207;0.2239;0.2139;0.221;24.07.2025 15:49
29285;0.2058;0.2226;0.2058;0.2211;24.07.2025 15:50
46373;0.2139;0.2139;0.2058;0.2058;24.07.2025 15:51
27136;0.2183;0.2195;0.2107;0.2134;24.07.2025 15:52
46368;0.2288;0.2326;0.2171;0.2183;24.07.2025 15:53
23047;0.2326;0.234;0.2272;0.2288;24.07.2025 15:54
29283;0.2365;0.2376;0.23;0.2327;24.07.2025 15:55
13030;0.2405;0.2411;0.2357;0.2368;24.07.2025 15:56
12028;0.2403;0.2426;0.2376;0.2404;24.07.2025 15:57
6825;0.2334;0.2414;0.2312;0.2403;24.07.2025 15:58
16623;0.2434;0.244;0.2324;0.2337;24.07.2025 15:59
