volume,open,high,low,close,datetime
93532,1.1502,1.24,1.111,1.111,2025-07-17 15:35
60950,1.147,1.17,1.12,1.1471,2025-07-17 15:36
61128,1.17,1.2167,1.135,1.1479,2025-07-17 15:37
46616,1.1856,1.2089,1.161,1.17,2025-07-17 15:38
30805,1.2018,1.2078,1.1828,1.1856,2025-07-17 15:39
45904,1.2306,1.236,1.2003,1.2016,2025-07-17 15:40
60764,1.2585,1.2824,1.2285,1.23,2025-07-17 15:41
90544,1.3218,1.358,1.2551,1.2585,2025-07-17 15:42
68100,1.35,1.3884,1.3233,1.3236,2025-07-17 15:43
73411,1.3293,1.36,1.28,1.35,2025-07-17 15:44
94379,1.3642,1.4036,1.3208,1.3294,2025-07-17 15:45
55647,1.3423,1.3737,1.3182,1.3642,2025-07-17 15:46
45438,1.3784,1.3856,1.3396,1.3413,2025-07-17 15:47
101407,1.3262,1.3788,1.2678,1.3755,2025-07-17 15:48
45084,1.3302,1.35,1.3054,1.3259,2025-07-17 15:49
47502,1.2907,1.3334,1.286,1.3304,2025-07-17 15:50
53333,1.308,1.3265,1.277,1.2915,2025-07-17 15:51
42656,1.3287,1.3348,1.3081,1.3081,2025-07-17 15:52
32264,1.3234,1.3326,1.31,1.3267,2025-07-17 15:53
39003,1.2989,1.3238,1.2869,1.3211,2025-07-17 15:54
78416,1.2602,1.3006,1.2301,1.297,2025-07-17 15:55
40607,1.2552,1.262,1.2326,1.2583,2025-07-17 15:56
47896,1.2862,1.2878,1.2489,1.2552,2025-07-17 15:57
36732,1.2786,1.2872,1.2539,1.2834,2025-07-17 15:58
48071,1.2884,1.2988,1.2725,1.2785,2025-07-17 15:59
84983,1.2795,1.29,1.2449,1.2866,2025-07-17 16:00
50075,1.2552,1.2863,1.2371,1.278,2025-07-17 16:01
49344,1.268,1.285,1.2541,1.2557,2025-07-17 16:02
53901,1.2504,1.282,1.2275,1.2661,2025-07-17 16:03
36297,1.2498,1.2616,1.2222,1.2501,2025-07-17 16:04
133910,1.3401,1.3977,1.2332,1.2483,2025-07-17 16:05
127842,1.4556,1.5076,1.3307,1.34,2025-07-17 16:06
67804,1.392,1.4661,1.3574,1.4608,2025-07-17 16:07
50526,1.3999,1.4169,1.3512,1.392,2025-07-17 16:08
42941,1.443,1.45,1.3781,1.3927,2025-07-17 16:09
49880,1.4336,1.4761,1.406,1.4473,2025-07-17 16:10
75186,1.4729,1.52,1.4139,1.4329,2025-07-17 16:11
54305,1.4906,1.5093,1.437,1.4692,2025-07-17 16:12
54428,1.5071,1.5272,1.4751,1.4878,2025-07-17 16:13
33712,1.4814,1.5077,1.464,1.5055,2025-07-17 16:14
32934,1.4895,1.4985,1.46,1.4813,2025-07-17 16:15
45510,1.4203,1.51,1.4112,1.488,2025-07-17 16:16
39801,1.4595,1.4669,1.4125,1.4216,2025-07-17 16:17
39685,1.4859,1.4981,1.4533,1.4595,2025-07-17 16:18
28943,1.4694,1.4924,1.4505,1.4859,2025-07-17 16:19
33304,1.4501,1.4784,1.4476,1.4666,2025-07-17 16:20
19790,1.4638,1.485,1.4509,1.4511,2025-07-17 16:21
31981,1.4602,1.4859,1.4509,1.4662,2025-07-17 16:22
40310,1.4035,1.4669,1.3951,1.4636,2025-07-17 16:23
32753,1.4152,1.4347,1.4025,1.4077,2025-07-17 16:24
36214,1.4041,1.4531,1.401,1.4152,2025-07-17 16:25
31776,1.4175,1.4263,1.4,1.4032,2025-07-17 16:26
38342,1.425,1.442,1.4149,1.4175,2025-07-17 16:27
38193,1.464,1.464,1.4229,1.4276,2025-07-17 16:28
22960,1.4383,1.464,1.4308,1.464,2025-07-17 16:29
25834,1.4398,1.45,1.43,1.4385,2025-07-17 16:30
26048,1.4661,1.47,1.4374,1.4398,2025-07-17 16:31
29439,1.4643,1.4768,1.4432,1.4621,2025-07-17 16:32
22704,1.4475,1.4732,1.44,1.4633,2025-07-17 16:33
25103,1.4392,1.4646,1.4211,1.4458,2025-07-17 16:34
18493,1.445,1.4538,1.4325,1.4392,2025-07-17 16:35
22685,1.452,1.452,1.43,1.4441,2025-07-17 16:36
32641,1.4689,1.4888,1.4441,1.4515,2025-07-17 16:37
42829,1.4959,1.5,1.4662,1.4692,2025-07-17 16:38
24117,1.4834,1.5136,1.4801,1.4994,2025-07-17 16:39
25743,1.5176,1.52,1.4822,1.4837,2025-07-17 16:40
26989,1.4902,1.528,1.4902,1.5198,2025-07-17 16:41
16921,1.4927,1.5057,1.4888,1.4969,2025-07-17 16:42
36472,1.5422,1.5487,1.4887,1.4922,2025-07-17 16:43
34938,1.537,1.555,1.5149,1.5422,2025-07-17 16:44
21831,1.5162,1.5492,1.511,1.5356,2025-07-17 16:45
19879,1.5286,1.5393,1.5112,1.517,2025-07-17 16:46
25408,1.5122,1.5373,1.4907,1.5253,2025-07-17 16:47
20874,1.5121,1.528,1.4927,1.51,2025-07-17 16:48
13320,1.5204,1.5204,1.5017,1.51,2025-07-17 16:49
20527,1.5203,1.53,1.505,1.5206,2025-07-17 16:50
19064,1.5153,1.529,1.511,1.5264,2025-07-17 16:51
17346,1.5148,1.52,1.502,1.5161,2025-07-17 16:52
40374,1.56,1.59,1.508,1.5136,2025-07-17 16:53
43307,1.52,1.5795,1.5143,1.56,2025-07-17 16:54
21999,1.5269,1.5317,1.5105,1.5164,2025-07-17 16:55
19518,1.5166,1.5319,1.512,1.5246,2025-07-17 16:56
28986,1.5016,1.524,1.4888,1.5163,2025-07-17 16:57
24191,1.5136,1.518,1.495,1.4974,2025-07-17 16:58
39341,1.4813,1.5136,1.481,1.5136,2025-07-17 16:59
67228,1.4955,1.5138,1.4705,1.4849,2025-07-17 17:00
20038,1.4877,1.5049,1.4839,1.4931,2025-07-17 17:01
18974,1.5003,1.5083,1.4868,1.4877,2025-07-17 17:02
25472,1.4831,1.5244,1.481,1.502,2025-07-17 17:03
21625,1.4641,1.4858,1.4641,1.4832,2025-07-17 17:04
30617,1.4399,1.4735,1.4351,1.4668,2025-07-17 17:05
30883,1.4209,1.4461,1.4134,1.44,2025-07-17 17:06
29636,1.4122,1.4265,1.3976,1.4209,2025-07-17 17:07
22011,1.4254,1.4325,1.4105,1.4105,2025-07-17 17:08
20408,1.4303,1.4383,1.4196,1.4254,2025-07-17 17:09
14868,1.4445,1.4496,1.4272,1.4281,2025-07-17 17:10
23615,1.4235,1.4599,1.4223,1.4436,2025-07-17 17:11
23796,1.403,1.4356,1.4,1.422,2025-07-17 17:12
31665,1.3926,1.4065,1.374,1.4037,2025-07-17 17:13
26129,1.3831,1.4136,1.3763,1.3922,2025-07-17 17:14
33994,1.413,1.415,1.3628,1.3818,2025-07-17 17:15
