volume,open,high,low,close,datetime
252,0.12,0.12,0.12,0.12,2025-07-30 08:52
252,0.12,0.12,0.12,0.12,2025-07-30 08:54
752,0.12,0.12002,0.11998,0.11998,2025-07-30 08:55
280,0.11998,0.11998,0.10729,0.10729,2025-07-30 09:00
1770,0.10729,0.14186,0.10729,0.14186,2025-07-30 09:13
5460,0.14186,0.1609,0.14186,0.15281,2025-07-30 09:14
4166,0.15281,0.16764,0.15281,0.16404,2025-07-30 09:15
3746,0.16404,0.16404,0.1536,0.1541,2025-07-30 09:16
3594,0.1541,0.15419,0.15095,0.15419,2025-07-30 09:17
4414,0.15419,0.15419,0.15169,0.15334,2025-07-30 09:18
2344,0.15334,0.15371,0.15175,0.15175,2025-07-30 09:19
4268,0.15175,0.15175,0.13275,0.13275,2025-07-30 09:20
4438,0.13275,0.14583,0.13275,0.14008,2025-07-30 09:21
5428,0.14008,0.14008,0.13745,0.13772,2025-07-30 09:22
7642,0.13772,0.14179,0.13542,0.13607,2025-07-30 09:23
4158,0.13607,0.13656,0.13056,0.13056,2025-07-30 09:24
3168,0.13056,0.13507,0.12919,0.13479,2025-07-30 09:25
5748,0.13479,0.13694,0.13479,0.13694,2025-07-30 09:26
4626,0.13694,0.13694,0.13159,0.13347,2025-07-30 09:27
3928,0.13347,0.13728,0.13347,0.13728,2025-07-30 09:28
2970,0.13728,0.13774,0.13671,0.13774,2025-07-30 09:29
2246,0.13774,0.14219,0.13774,0.14219,2025-07-30 09:30
4252,0.14219,0.14219,0.14051,0.14101,2025-07-30 09:31
4010,0.14101,0.14112,0.13977,0.14008,2025-07-30 09:32
2062,0.14008,0.14008,0.13917,0.13948,2025-07-30 09:33
3772,0.13948,0.14009,0.13772,0.13932,2025-07-30 09:34
5220,0.13932,0.14278,0.13929,0.14269,2025-07-30 09:35
5540,0.14269,0.14269,0.14072,0.14179,2025-07-30 09:36
4180,0.14179,0.14374,0.14163,0.14373,2025-07-30 09:37
4872,0.14373,0.14469,0.14299,0.14469,2025-07-30 09:38
5200,0.14469,0.14469,0.14324,0.14421,2025-07-30 09:39
4276,0.14421,0.14421,0.14306,0.14321,2025-07-30 09:40
4480,0.14321,0.14353,0.14192,0.14192,2025-07-30 09:41
4850,0.14192,0.14229,0.13772,0.13772,2025-07-30 09:42
5516,0.13772,0.13954,0.13772,0.13954,2025-07-30 09:43
4084,0.13954,0.13954,0.13628,0.13628,2025-07-30 09:44
5518,0.13628,0.13628,0.13451,0.13467,2025-07-30 09:45
3144,0.13467,0.13467,0.13126,0.13126,2025-07-30 09:46
4452,0.13126,0.13126,0.12809,0.12854,2025-07-30 09:47
5170,0.12854,0.12854,0.1241,0.12614,2025-07-30 09:48
4320,0.12614,0.12826,0.12555,0.12555,2025-07-30 09:49
3360,0.12555,0.12555,0.12361,0.12361,2025-07-30 09:50
5042,0.12361,0.12507,0.12175,0.12504,2025-07-30 09:51
4946,0.12504,0.12917,0.12244,0.12917,2025-07-30 09:52
5244,0.12917,0.13311,0.12917,0.13311,2025-07-30 09:53
5470,0.13311,0.13311,0.13174,0.13216,2025-07-30 09:54
4676,0.13216,0.13347,0.13197,0.1322,2025-07-30 09:55
5820,0.1322,0.13347,0.1322,0.13225,2025-07-30 09:56
5902,0.13225,0.13538,0.13225,0.13538,2025-07-30 09:57
4186,0.13538,0.13634,0.13475,0.13634,2025-07-30 09:58
4468,0.13634,0.13903,0.13634,0.13796,2025-07-30 09:59
4458,0.13796,0.13916,0.13769,0.13854,2025-07-30 10:00
5034,0.13854,0.13854,0.13674,0.13674,2025-07-30 10:01
3802,0.13674,0.13674,0.13472,0.13476,2025-07-30 10:02
2160,0.13476,0.13571,0.13142,0.13142,2025-07-30 10:03
5564,0.13142,0.13142,0.12897,0.12934,2025-07-30 10:04
