volume,open,high,low,close,datetime
329948,0.3458,0.41,0.3404,0.385,2025-07-03 13:00
168020,0.3916,0.3917,0.345,0.3458,2025-07-03 13:01
237246,0.3813,0.42,0.379,0.3912,2025-07-03 13:02
140675,0.379,0.3922,0.3776,0.3813,2025-07-03 13:03
77425,0.387,0.39,0.375,0.3803,2025-07-03 13:04
79762,0.3928,0.3969,0.3833,0.387,2025-07-03 13:05
83725,0.4036,0.4054,0.3904,0.3917,2025-07-03 13:06
91679,0.4101,0.4149,0.3983,0.4018,2025-07-03 13:07
105980,0.4179,0.4219,0.407,0.4101,2025-07-03 13:08
108812,0.4072,0.4195,0.398,0.4174,2025-07-03 13:09
88956,0.4027,0.4198,0.4001,0.4078,2025-07-03 13:10
93330,0.3953,0.4066,0.3904,0.4031,2025-07-03 13:11
144585,0.3835,0.3961,0.3737,0.3959,2025-07-03 13:12
74535,0.3777,0.386,0.3724,0.3836,2025-07-03 13:13
80264,0.3695,0.3794,0.365,0.3782,2025-07-03 13:14
107609,0.361,0.3717,0.3586,0.3694,2025-07-03 13:15
111262,0.3752,0.3837,0.3609,0.361,2025-07-03 13:16
70671,0.3857,0.39,0.3745,0.3754,2025-07-03 13:17
93542,0.3647,0.3853,0.3625,0.3852,2025-07-03 13:18
72373,0.3725,0.3725,0.3605,0.3647,2025-07-03 13:19
51714,0.3762,0.385,0.3725,0.3725,2025-07-03 13:20
42208,0.3803,0.383,0.3718,0.3763,2025-07-03 13:21
65163,0.3808,0.387,0.3764,0.3809,2025-07-03 13:22
51036,0.3825,0.39,0.3791,0.3804,2025-07-03 13:23
30897,0.3833,0.3867,0.3782,0.3827,2025-07-03 13:24
31882,0.3814,0.3897,0.3786,0.3839,2025-07-03 13:25
65478,0.3906,0.3945,0.3801,0.381,2025-07-03 13:26
40637,0.3887,0.3941,0.387,0.3907,2025-07-03 13:27
22741,0.3848,0.3891,0.3828,0.3887,2025-07-03 13:28
20928,0.3842,0.3884,0.382,0.3849,2025-07-03 13:29
52581,0.3926,0.3946,0.381,0.3847,2025-07-03 13:30
41742,0.3922,0.3988,0.39,0.3931,2025-07-03 13:31
24578,0.3915,0.3959,0.3856,0.3925,2025-07-03 13:32
19525,0.3962,0.3987,0.3896,0.3908,2025-07-03 13:33
55877,0.3841,0.399,0.3838,0.396,2025-07-03 13:34
75420,0.3788,0.387,0.3733,0.3837,2025-07-03 13:35
32895,0.3724,0.38,0.3723,0.3788,2025-07-03 13:36
45215,0.3681,0.375,0.3646,0.3733,2025-07-03 13:37
55542,0.3634,0.3686,0.3602,0.3678,2025-07-03 13:38
67616,0.3589,0.37,0.3571,0.3635,2025-07-03 13:39
82458,0.369,0.3721,0.3546,0.3589,2025-07-03 13:40
36513,0.3634,0.3723,0.36,0.3689,2025-07-03 13:41
51156,0.3606,0.3637,0.3525,0.3633,2025-07-03 13:42
58302,0.3698,0.3699,0.3581,0.3607,2025-07-03 13:43
48453,0.3677,0.3722,0.3614,0.3697,2025-07-03 13:44
40324,0.3711,0.3735,0.3628,0.3676,2025-07-03 13:45
47021,0.3792,0.3832,0.3697,0.3705,2025-07-03 13:46
28017,0.3787,0.3824,0.3764,0.3787,2025-07-03 13:47
49252,0.3846,0.3871,0.3722,0.379,2025-07-03 13:48
24860,0.3824,0.3876,0.3798,0.3847,2025-07-03 13:49
25345,0.3808,0.384,0.3777,0.3828,2025-07-03 13:50
24015,0.3737,0.3819,0.3736,0.3805,2025-07-03 13:51
25222,0.3807,0.3843,0.373,0.374,2025-07-03 13:52
18523,0.3801,0.3837,0.3775,0.3807,2025-07-03 13:53
16602,0.3817,0.3832,0.3775,0.38,2025-07-03 13:54
15036,0.3802,0.3835,0.3781,0.3815,2025-07-03 13:55
15315,0.3785,0.382,0.3778,0.3802,2025-07-03 13:56
25120,0.381,0.387,0.379,0.379,2025-07-03 13:57
15147,0.3765,0.3858,0.3759,0.382,2025-07-03 13:58
25266,0.3704,0.3788,0.3658,0.3764,2025-07-03 13:59
38512,0.3591,0.3708,0.3582,0.3704,2025-07-03 14:00
48785,0.3622,0.3647,0.353,0.359,2025-07-03 14:01
24776,0.361,0.3652,0.3594,0.3621,2025-07-03 14:02
34131,0.3545,0.363,0.3514,0.3608,2025-07-03 14:03
34267,0.3567,0.3616,0.3523,0.3545,2025-07-03 14:04
41141,0.353,0.3625,0.35,0.3568,2025-07-03 14:05
39763,0.3595,0.366,0.3496,0.353,2025-07-03 14:06
26850,0.3627,0.3686,0.3595,0.3595,2025-07-03 14:07
25690,0.3586,0.365,0.3571,0.3624,2025-07-03 14:08
16572,0.3536,0.3581,0.3527,0.3581,2025-07-03 14:09
29496,0.3535,0.3573,0.3489,0.3528,2025-07-03 14:10
19495,0.3571,0.3576,0.3499,0.3534,2025-07-03 14:11
24415,0.3608,0.365,0.3555,0.3572,2025-07-03 14:12
12269,0.3622,0.3649,0.3605,0.3609,2025-07-03 14:13
17488,0.3657,0.3667,0.3609,0.3622,2025-07-03 14:14
25610,0.3709,0.3739,0.3628,0.3657,2025-07-03 14:15
14653,0.3636,0.3716,0.3631,0.371,2025-07-03 14:16
13994,0.3611,0.3641,0.361,0.3639,2025-07-03 14:17
15338,0.3643,0.3671,0.3613,0.3613,2025-07-03 14:18
15526,0.3646,0.3684,0.3613,0.3646,2025-07-03 14:19
84827,0.3505,0.3644,0.3439,0.364,2025-07-03 14:20
62317,0.3494,0.3517,0.3406,0.3508,2025-07-03 14:21
25576,0.3547,0.355,0.3495,0.3495,2025-07-03 14:22
17136,0.354,0.3574,0.3513,0.3545,2025-07-03 14:23
17006,0.3523,0.3555,0.3502,0.3539,2025-07-03 14:24
25512,0.3554,0.356,0.3494,0.3523,2025-07-03 14:25
20179,0.3532,0.3584,0.3515,0.3559,2025-07-03 14:26
23018,0.3547,0.358,0.3516,0.3538,2025-07-03 14:27
7855,0.3561,0.3584,0.3547,0.355,2025-07-03 14:28
12091,0.3575,0.3598,0.356,0.3562,2025-07-03 14:29
24470,0.3507,0.3596,0.3496,0.3578,2025-07-03 14:30
16212,0.352,0.3547,0.3486,0.351,2025-07-03 14:31
14507,0.3565,0.3574,0.35,0.3516,2025-07-03 14:32
26897,0.3619,0.3632,0.356,0.3567,2025-07-03 14:33
11030,0.3593,0.3638,0.3581,0.3613,2025-07-03 14:34
17845,0.3622,0.3655,0.3594,0.3597,2025-07-03 14:35
8954,0.364,0.3672,0.3626,0.3628,2025-07-03 14:36
22334,0.3567,0.3644,0.3555,0.364,2025-07-03 14:37
11350,0.3546,0.3589,0.3535,0.357,2025-07-03 14:38
11175,0.3605,0.3606,0.355,0.355,2025-07-03 14:39
21234,0.3631,0.3682,0.3604,0.3604,2025-07-03 14:40
12938,0.3674,0.3674,0.3632,0.3632,2025-07-03 14:41
15380,0.3661,0.3679,0.3636,0.3673,2025-07-03 14:42
23552,0.37,0.3712,0.3622,0.3653,2025-07-03 14:43
11861,0.3662,0.3702,0.3647,0.3702,2025-07-03 14:44
8491,0.3687,0.37,0.3661,0.3663,2025-07-03 14:45
17465,0.3618,0.3695,0.3601,0.3688,2025-07-03 14:46
5022,0.3598,0.3629,0.3565,0.3623,2025-07-03 14:47
2712,0.3619,0.362,0.36,0.3602,2025-07-03 14:48
6274,0.3582,0.3643,0.358,0.3621,2025-07-03 14:49
12395,0.3588,0.3612,0.3551,0.3582,2025-07-03 14:50
5531,0.3567,0.3589,0.355,0.3587,2025-07-03 14:51
8658,0.3572,0.3579,0.3549,0.3567,2025-07-03 14:52
12636,0.3627,0.3637,0.356,0.3564,2025-07-03 14:53
9362,0.3596,0.3646,0.3596,0.3628,2025-07-03 14:54
8060,0.3605,0.3607,0.3576,0.36,2025-07-03 14:55
6055,0.3625,0.3633,0.3601,0.3607,2025-07-03 14:56
4926,0.3639,0.3641,0.3612,0.3623,2025-07-03 14:57
10304,0.362,0.3655,0.3603,0.3639,2025-07-03 14:58
9041,0.3579,0.3622,0.3572,0.3618,2025-07-03 14:59
13407,0.3626,0.3644,0.3556,0.3586,2025-07-03 15:00
12237,0.3616,0.363,0.3594,0.3622,2025-07-03 15:01
7056,0.3578,0.3616,0.3565,0.3616,2025-07-03 15:02
16841,0.356,0.3575,0.3537,0.3575,2025-07-03 15:03
23082,0.3534,0.3557,0.351,0.3557,2025-07-03 15:04
42859,0.3493,0.3532,0.3452,0.3527,2025-07-03 15:05
37932,0.3487,0.3487,0.3402,0.3487,2025-07-03 15:06
32792,0.3505,0.3561,0.3463,0.3484,2025-07-03 15:07
10684,0.3533,0.3549,0.3468,0.35,2025-07-03 15:08
15631,0.3509,0.3563,0.3503,0.3532,2025-07-03 15:09
6211,0.3507,0.3536,0.3477,0.3511,2025-07-03 15:10
7526,0.3536,0.354,0.3487,0.3507,2025-07-03 15:11
5347,0.3533,0.3551,0.3519,0.3536,2025-07-03 15:12
11592,0.3556,0.3589,0.3531,0.3533,2025-07-03 15:13
4608,0.3547,0.3563,0.3537,0.355,2025-07-03 15:14
8667,0.3501,0.3561,0.3487,0.3543,2025-07-03 15:15
6461,0.3492,0.3516,0.3464,0.3501,2025-07-03 15:16
5472,0.3484,0.3512,0.3473,0.349,2025-07-03 15:17
8580,0.3495,0.3507,0.3453,0.3482,2025-07-03 15:18
5617,0.3496,0.3516,0.3478,0.3495,2025-07-03 15:19
5005,0.3543,0.3555,0.348,0.35,2025-07-03 15:20
9505,0.3555,0.3585,0.3506,0.3544,2025-07-03 15:21
13792,0.3617,0.3617,0.3543,0.3556,2025-07-03 15:22
9589,0.3576,0.362,0.3572,0.3612,2025-07-03 15:23
7314,0.355,0.3583,0.3533,0.358,2025-07-03 15:24
15619,0.3599,0.3638,0.3523,0.355,2025-07-03 15:25
27510,0.3645,0.3672,0.36,0.36,2025-07-03 15:26
12739,0.3653,0.3666,0.3622,0.3646,2025-07-03 15:27
12001,0.3604,0.3659,0.3584,0.365,2025-07-03 15:28
8434,0.3588,0.3613,0.357,0.3602,2025-07-03 15:29
8471,0.3617,0.3638,0.3588,0.359,2025-07-03 15:30
8812,0.3636,0.3637,0.3582,0.3619,2025-07-03 15:31
16329,0.3667,0.3688,0.3628,0.3633,2025-07-03 15:32
15413,0.3662,0.3681,0.3649,0.3669,2025-07-03 15:33
4388,0.3641,0.368,0.3637,0.366,2025-07-03 15:34
11143,0.3631,0.3651,0.3601,0.3641,2025-07-03 15:35
6443,0.3643,0.3667,0.3622,0.3635,2025-07-03 15:36
11600,0.3649,0.3649,0.3592,0.3647,2025-07-03 15:37
19127,0.362,0.3654,0.3612,0.3646,2025-07-03 15:38
7269,0.363,0.3646,0.3613,0.3619,2025-07-03 15:39
