volume,open,high,low,close,datetime
850,0.05355,0.05413,0.0535,0.05409,2025-08-01 00:00
816,0.05379,0.05387,0.05348,0.05348,2025-08-01 00:01
490,0.05448,0.05448,0.05373,0.05375,2025-08-01 00:02
2074,0.0545,0.0545,0.05441,0.0545,2025-08-01 00:03
602,0.05423,0.05455,0.05423,0.05455,2025-08-01 00:04
754,0.0545,0.0545,0.05436,0.05436,2025-08-01 00:05
1192,0.05475,0.05486,0.0546,0.0546,2025-08-01 00:06
86,0.0545,0.0546,0.05436,0.0546,2025-08-01 00:07
659,0.05443,0.05443,0.05436,0.05436,2025-08-01 00:08
1875,0.05395,0.05427,0.05395,0.05427,2025-08-01 00:09
3272,0.05313,0.05392,0.05308,0.05392,2025-08-01 00:10
6739,0.05271,0.05317,0.05242,0.05317,2025-08-01 00:11
4627,0.05197,0.05316,0.0514,0.05288,2025-08-01 00:12
2747,0.05244,0.05251,0.05196,0.05196,2025-08-01 00:13
239,0.05266,0.05276,0.05258,0.0526,2025-08-01 00:14
2514,0.05284,0.05305,0.05259,0.05259,2025-08-01 00:15
1472,0.05266,0.05278,0.05258,0.05278,2025-08-01 00:16
3534,0.05322,0.05376,0.05284,0.05284,2025-08-01 00:17
7115,0.05272,0.05368,0.05205,0.05323,2025-08-01 00:18
82,0.05276,0.05285,0.05276,0.05276,2025-08-01 00:19
1276,0.05291,0.05292,0.05279,0.05285,2025-08-01 00:20
2155,0.05259,0.05292,0.05259,0.05284,2025-08-01 00:21
1100,0.05238,0.05261,0.05237,0.05258,2025-08-01 00:22
2967,0.05252,0.05262,0.0521,0.05238,2025-08-01 00:23
3782,0.05227,0.05272,0.05191,0.05266,2025-08-01 00:24
3572,0.05235,0.05245,0.05204,0.05229,2025-08-01 00:25
1315,0.05218,0.05246,0.05198,0.05241,2025-08-01 00:26
4550,0.05205,0.05222,0.05199,0.05218,2025-08-01 00:27
2945,0.05195,0.05208,0.0518,0.052,2025-08-01 00:28
4415,0.05205,0.05234,0.05196,0.05196,2025-08-01 00:29
1198,0.05214,0.05223,0.05186,0.052,2025-08-01 00:30
3402,0.05212,0.05234,0.05205,0.0523,2025-08-01 00:31
547,0.05208,0.05214,0.05207,0.05214,2025-08-01 00:32
1820,0.05215,0.05215,0.05196,0.05207,2025-08-01 00:33
382,0.05205,0.05215,0.05205,0.0521,2025-08-01 00:34
1485,0.05262,0.05262,0.05195,0.05207,2025-08-01 00:35
2359,0.05256,0.05276,0.05236,0.05272,2025-08-01 00:36
1189,0.0528,0.0528,0.05261,0.05261,2025-08-01 00:37
3527,0.05308,0.05319,0.05279,0.05279,2025-08-01 00:38
838,0.05313,0.05314,0.05294,0.05294,2025-08-01 00:39
10340,0.05338,0.05389,0.05315,0.05315,2025-08-01 00:40
6594,0.05278,0.05331,0.05269,0.05331,2025-08-01 00:41
6435,0.05328,0.05333,0.05266,0.05269,2025-08-01 00:42
8296,0.05266,0.05322,0.05241,0.05321,2025-08-01 00:43
6391,0.05299,0.053,0.05265,0.05266,2025-08-01 00:44
21627,0.05264,0.05284,0.05251,0.05284,2025-08-01 00:45
23243,0.05219,0.05262,0.05182,0.05262,2025-08-01 00:46
