volume,open,high,low,close,datetime
86874,0.07866,0.0799,0.07533,0.07553,2025-07-12 07:00
64762,0.07846,0.08,0.07782,0.07915,2025-07-12 07:01
63106,0.07779,0.08019,0.07739,0.07845,2025-07-12 07:02
19059,0.07814,0.07831,0.07711,0.07802,2025-07-12 07:03
14240,0.0781,0.07861,0.07716,0.07769,2025-07-12 07:04
12029,0.07839,0.07839,0.07703,0.07769,2025-07-12 07:05
12705,0.07711,0.07788,0.077,0.07769,2025-07-12 07:06
5360,0.07743,0.07768,0.07687,0.07711,2025-07-12 07:07
4591,0.07743,0.07743,0.07671,0.07698,2025-07-12 07:08
9622,0.07711,0.0776,0.07691,0.07743,2025-07-12 07:09
13994,0.0777,0.0777,0.07711,0.07723,2025-07-12 07:10
14730,0.07731,0.078,0.0773,0.0777,2025-07-12 07:11
18020,0.0772,0.07746,0.0765,0.0773,2025-07-12 07:12
6660,0.07728,0.07744,0.0771,0.07736,2025-07-12 07:13
6201,0.07726,0.07741,0.0771,0.07737,2025-07-12 07:14
6859,0.07698,0.07739,0.07664,0.07726,2025-07-12 07:15
21452,0.07663,0.077,0.07653,0.07671,2025-07-12 07:16
2618,0.07668,0.07691,0.07662,0.07663,2025-07-12 07:17
9456,0.07697,0.077,0.07661,0.07676,2025-07-12 07:18
10185,0.0768,0.07692,0.07625,0.07678,2025-07-12 07:19
4575,0.07606,0.07699,0.07606,0.07678,2025-07-12 07:20
18455,0.07606,0.07606,0.07556,0.07606,2025-07-12 07:21
3147,0.07579,0.07606,0.07554,0.07605,2025-07-12 07:22
8146,0.07549,0.07606,0.07543,0.07579,2025-07-12 07:23
6619,0.07603,0.07651,0.0755,0.07579,2025-07-12 07:24
371,0.07604,0.07604,0.07553,0.07582,2025-07-12 07:25
5948,0.076,0.07603,0.07552,0.07601,2025-07-12 07:26
1970,0.07567,0.07599,0.07562,0.07598,2025-07-12 07:27
656,0.07597,0.076,0.07564,0.07596,2025-07-12 07:28
6184,0.07574,0.076,0.07552,0.07598,2025-07-12 07:29
6509,0.07574,0.07574,0.07529,0.0756,2025-07-12 07:30
18299,0.07528,0.07588,0.07528,0.0758,2025-07-12 07:31
6299,0.07556,0.07586,0.07531,0.07558,2025-07-12 07:32
10764,0.07559,0.0756,0.07555,0.07557,2025-07-12 07:33
5530,0.07537,0.07559,0.0753,0.07558,2025-07-12 07:34
10423,0.07534,0.07569,0.0753,0.07557,2025-07-12 07:35
18285,0.07544,0.07571,0.07537,0.07537,2025-07-12 07:36
3462,0.07557,0.07557,0.07543,0.07546,2025-07-12 07:37
8616,0.07559,0.07598,0.07543,0.07543,2025-07-12 07:38
2646,0.07551,0.07559,0.07543,0.07559,2025-07-12 07:39
3572,0.07602,0.07602,0.07543,0.07545,2025-07-12 07:40
3681,0.0757,0.07619,0.07543,0.0756,2025-07-12 07:41
1303,0.07599,0.07619,0.0757,0.07571,2025-07-12 07:42
3839,0.0763,0.07644,0.07587,0.07602,2025-07-12 07:43
2785,0.07674,0.07689,0.07637,0.07637,2025-07-12 07:44
5621,0.0765,0.077,0.0765,0.07674,2025-07-12 07:45
1348,0.07646,0.07671,0.07644,0.07663,2025-07-12 07:46
7140,0.07696,0.07696,0.07639,0.07646,2025-07-12 07:47
1259,0.0769,0.07721,0.07684,0.07698,2025-07-12 07:48
648,0.07677,0.07721,0.07677,0.07721,2025-07-12 07:49
1108,0.07652,0.07677,0.07652,0.07677,2025-07-12 07:50
3880,0.0764,0.07651,0.07593,0.07651,2025-07-12 07:51
1676,0.07634,0.07634,0.07575,0.0761,2025-07-12 07:52
1135,0.07623,0.07623,0.07599,0.07604,2025-07-12 07:53
243,0.07581,0.07615,0.07581,0.07587,2025-07-12 07:55
13812,0.07543,0.07597,0.07543,0.07596,2025-07-12 07:56
2917,0.07559,0.0756,0.07559,0.0756,2025-07-12 07:57
4201,0.07565,0.07574,0.07538,0.07539,2025-07-12 07:58
823,0.07531,0.07574,0.07531,0.07574,2025-07-12 07:59
2798,0.07554,0.07557,0.07527,0.07549,2025-07-12 08:00
1784,0.07552,0.07554,0.07519,0.07554,2025-07-12 08:01
3181,0.07553,0.07554,0.07517,0.0752,2025-07-12 08:02
1451,0.07534,0.0754,0.07516,0.0754,2025-07-12 08:03
195,0.07526,0.07543,0.07526,0.07543,2025-07-12 08:04
1436,0.07533,0.07533,0.07512,0.07516,2025-07-12 08:05
3594,0.07547,0.07554,0.07533,0.07533,2025-07-12 08:06
33,0.07518,0.07528,0.07518,0.07528,2025-07-12 08:07
2134,0.07528,0.07555,0.07525,0.07526,2025-07-12 08:08
551,0.07531,0.07572,0.07531,0.07554,2025-07-12 08:09
2365,0.0752,0.07548,0.07513,0.07548,2025-07-12 08:10
2858,0.07518,0.07524,0.07514,0.07519,2025-07-12 08:11
63,0.07529,0.07529,0.07513,0.07516,2025-07-12 08:12
24788,0.07488,0.07527,0.07424,0.07527,2025-07-12 08:13
246,0.07451,0.07477,0.07443,0.07477,2025-07-12 08:14
4178,0.07488,0.07488,0.07403,0.07446,2025-07-12 08:15
1041,0.07487,0.07487,0.07447,0.07477,2025-07-12 08:16
36,0.0747,0.07478,0.0747,0.07478,2025-07-12 08:17
3628,0.07449,0.07474,0.07449,0.07463,2025-07-12 08:18
5570,0.07441,0.07496,0.074,0.07446,2025-07-12 08:19
2852,0.07443,0.07466,0.07435,0.07463,2025-07-12 08:20
2511,0.07466,0.07466,0.07432,0.07433,2025-07-12 08:21
1265,0.07459,0.07485,0.07458,0.07465,2025-07-12 08:22
187,0.07443,0.0746,0.07443,0.07459,2025-07-12 08:23
3425,0.07452,0.07452,0.07426,0.07439,2025-07-12 08:24
3120,0.07403,0.07433,0.07382,0.07433,2025-07-12 08:25
2006,0.07411,0.07421,0.074,0.07416,2025-07-12 08:26
2376,0.07409,0.07421,0.07405,0.0742,2025-07-12 08:27
1707,0.07361,0.07408,0.07361,0.07408,2025-07-12 08:28
2880,0.07417,0.07417,0.07363,0.07394,2025-07-12 08:29
