volume,open,high,low,close,datetime
54434,0.59305,0.62,0.572,0.59956,2025-08-05 17:10
37902,0.59128,0.60262,0.5872,0.59308,2025-08-05 17:11
35255,0.60155,0.60839,0.58783,0.5921,2025-08-05 17:12
29159,0.60108,0.60519,0.59,0.60155,2025-08-05 17:13
34824,0.61345,0.62,0.60087,0.60115,2025-08-05 17:14
20730,0.61139,0.61688,0.60688,0.61345,2025-08-05 17:15
20991,0.61787,0.62442,0.60921,0.61105,2025-08-05 17:16
21583,0.6043,0.62244,0.6043,0.61701,2025-08-05 17:17
31646,0.60899,0.616,0.60249,0.6057,2025-08-05 17:18
15158,0.60672,0.616,0.60439,0.60899,2025-08-05 17:19
11533,0.60576,0.61,0.60304,0.60672,2025-08-05 17:20
8199,0.61361,0.6168,0.60569,0.60576,2025-08-05 17:21
13557,0.59503,0.61544,0.59503,0.6142,2025-08-05 17:22
21007,0.58568,0.602,0.58073,0.59497,2025-08-05 17:23
23318,0.59279,0.59729,0.57691,0.58568,2025-08-05 17:24
10896,0.58761,0.59484,0.58033,0.59265,2025-08-05 17:25
15402,0.59242,0.595,0.58691,0.5875,2025-08-05 17:26
6174,0.59,0.59513,0.5885,0.59198,2025-08-05 17:27
6877,0.585,0.591,0.5846,0.5908,2025-08-05 17:28
7745,0.58861,0.59322,0.585,0.58515,2025-08-05 17:29
13112,0.57948,0.58931,0.57564,0.5885,2025-08-05 17:30
10633,0.5787,0.58339,0.57657,0.57736,2025-08-05 17:31
15862,0.58424,0.58888,0.57375,0.5787,2025-08-05 17:32
17829,0.59797,0.60749,0.58489,0.58489,2025-08-05 17:33
6935,0.60063,0.60195,0.59497,0.5984,2025-08-05 17:34
8548,0.60041,0.61282,0.59865,0.60089,2025-08-05 17:35
5079,0.60404,0.60899,0.59913,0.60009,2025-08-05 17:36
9248,0.61059,0.61138,0.60222,0.60301,2025-08-05 17:37
27671,0.61325,0.62317,0.60986,0.60986,2025-08-05 17:38
9392,0.60697,0.6141,0.60098,0.613,2025-08-05 17:39
5811,0.60523,0.60987,0.60147,0.60579,2025-08-05 17:40
8469,0.61112,0.61113,0.60523,0.60523,2025-08-05 17:41
5991,0.6156,0.6175,0.60996,0.61075,2025-08-05 17:42
8707,0.61909,0.6224,0.6126,0.61503,2025-08-05 17:43
8634,0.61775,0.62294,0.61538,0.61909,2025-08-05 17:44
10061,0.60752,0.62011,0.60353,0.61736,2025-08-05 17:45
5267,0.61401,0.6164,0.60789,0.60879,2025-08-05 17:46
6627,0.61309,0.618,0.60615,0.61425,2025-08-05 17:47
4648,0.61415,0.6164,0.61121,0.61376,2025-08-05 17:48
27165,0.63326,0.64246,0.61369,0.61395,2025-08-05 17:49
18140,0.64077,0.65173,0.63,0.63329,2025-08-05 17:50
15433,0.65775,0.65775,0.64035,0.6417,2025-08-05 17:51
26174,0.65864,0.67115,0.65439,0.65712,2025-08-05 17:52
10367,0.66183,0.666,0.65184,0.6581,2025-08-05 17:53
15684,0.67102,0.68029,0.65912,0.66299,2025-08-05 17:54
8990,0.66745,0.67168,0.66078,0.67161,2025-08-05 17:55
6894,0.65724,0.67859,0.65719,0.66879,2025-08-05 17:56
20343,0.64948,0.66859,0.63933,0.65706,2025-08-05 17:57
13029,0.66185,0.67,0.64118,0.64948,2025-08-05 17:58
9612,0.66162,0.67,0.65617,0.66186,2025-08-05 17:59
42266,0.66122,0.6624,0.64305,0.66122,2025-08-05 18:00
26361,0.65308,0.66104,0.64688,0.66104,2025-08-05 18:01
35733,0.65234,0.655,0.64708,0.65162,2025-08-05 18:02
31950,0.65302,0.6615,0.64529,0.65351,2025-08-05 18:03
29527,0.65724,0.65912,0.65274,0.65377,2025-08-05 18:04
31956,0.6675,0.66827,0.65485,0.65648,2025-08-05 18:05
38330,0.66122,0.67249,0.65544,0.66795,2025-08-05 18:06
28394,0.65806,0.66293,0.65647,0.66122,2025-08-05 18:07
10933,0.66364,0.66641,0.65667,0.65823,2025-08-05 18:08
8292,0.67219,0.67275,0.66034,0.66175,2025-08-05 18:09
21828,0.66873,0.67146,0.66603,0.67146,2025-08-05 18:10
27926,0.66699,0.66934,0.66168,0.66851,2025-08-05 18:11
22287,0.66723,0.66833,0.66506,0.66608,2025-08-05 18:12
53109,0.69,0.69183,0.66723,0.66777,2025-08-05 18:13
30071,0.69271,0.69367,0.68565,0.69144,2025-08-05 18:14
23886,0.68479,0.69445,0.68309,0.69252,2025-08-05 18:15
31954,0.70481,0.7059,0.6836,0.68404,2025-08-05 18:16
28288,0.70055,0.70404,0.69885,0.70404,2025-08-05 18:17
33789,0.68469,0.69884,0.6751,0.69884,2025-08-05 18:18
30505,0.67448,0.68423,0.66302,0.68391,2025-08-05 18:19
35343,0.66285,0.67353,0.658,0.67353,2025-08-05 18:20
34152,0.661,0.66343,0.65605,0.66247,2025-08-05 18:21
29209,0.66809,0.67298,0.66071,0.66071,2025-08-05 18:22
31837,0.67327,0.67878,0.66666,0.66865,2025-08-05 18:23
30624,0.66896,0.67368,0.66614,0.67329,2025-08-05 18:24
31597,0.65388,0.6681,0.65307,0.6681,2025-08-05 18:25
28405,0.66018,0.66409,0.65312,0.65312,2025-08-05 18:26
14644,0.65563,0.66088,0.6539,0.65985,2025-08-05 18:27
29561,0.6567,0.65896,0.65458,0.6559,2025-08-05 18:28
28226,0.66235,0.66345,0.65626,0.6567,2025-08-05 18:29
27856,0.65434,0.66686,0.65165,0.6624,2025-08-05 18:30
35355,0.65331,0.65608,0.64664,0.65434,2025-08-05 18:31
25761,0.65746,0.6618,0.65,0.65374,2025-08-05 18:32
3179,0.66515,0.66571,0.657,0.65702,2025-08-05 18:33
6375,0.67425,0.67586,0.66213,0.66397,2025-08-05 18:34
31188,0.67811,0.68177,0.67042,0.67442,2025-08-05 18:35
33383,0.68232,0.69826,0.67645,0.67775,2025-08-05 18:36
22686,0.67962,0.68512,0.67645,0.68245,2025-08-05 18:37
4991,0.67921,0.6814,0.66686,0.6805,2025-08-05 18:38
1553,0.6776,0.68556,0.67662,0.67959,2025-08-05 18:39
30497,0.67524,0.6771,0.6718,0.6771,2025-08-05 18:40
24645,0.679,0.68349,0.67528,0.67528,2025-08-05 18:41
24663,0.68445,0.68447,0.67853,0.67911,2025-08-05 18:42
4677,0.69142,0.69142,0.68208,0.68369,2025-08-05 18:43
2410,0.68659,0.69066,0.68326,0.69009,2025-08-05 18:44
32309,0.67856,0.68751,0.67666,0.68597,2025-08-05 18:45
21367,0.70051,0.70209,0.67963,0.67963,2025-08-05 18:46
15258,0.71334,0.72543,0.69996,0.7001,2025-08-05 18:47
35072,0.752,0.76,0.70956,0.71356,2025-08-05 18:48
11587,0.74138,0.75924,0.73564,0.75097,2025-08-05 18:49
60760,0.81154,0.82612,0.7414,0.7414,2025-08-05 18:50
72134,0.86822,0.90411,0.8093,0.81281,2025-08-05 18:51
35165,0.90068,0.90237,0.84016,0.86547,2025-08-05 18:52
32641,0.87322,0.90107,0.86099,0.90014,2025-08-05 18:53
41119,0.90975,0.91446,0.87092,0.87145,2025-08-05 18:54
45048,0.86606,0.90973,0.84803,0.90967,2025-08-05 18:55
42745,0.83605,0.8864,0.8224,0.86883,2025-08-05 18:56
34533,0.85289,0.8689,0.82249,0.83664,2025-08-05 18:57
29602,0.852,0.86898,0.85041,0.85041,2025-08-05 18:58
26991,0.86798,0.87614,0.852,0.852,2025-08-05 18:59
28973,0.89761,0.89901,0.85755,0.86695,2025-08-05 19:00
35926,0.90845,0.91851,0.87985,0.89919,2025-08-05 19:01
28508,0.87599,0.90728,0.86081,0.90641,2025-08-05 19:02
28902,0.87939,0.88827,0.86366,0.87852,2025-08-05 19:03
29007,0.90434,0.90576,0.8745,0.878,2025-08-05 19:04
38214,0.92513,0.93651,0.89949,0.90471,2025-08-05 19:05
34743,0.9086,0.9392,0.90138,0.92258,2025-08-05 19:06
