volume,open,high,low,close,datetime
501188,0.0893,0.095,0.086,0.0875,2025-08-11 11:10
292264,0.08426,0.08928,0.08426,0.08925,2025-08-11 11:11
286966,0.0846,0.08761,0.084,0.08501,2025-08-11 11:12
333217,0.08589,0.08788,0.08237,0.08463,2025-08-11 11:13
254305,0.08912,0.0893,0.08482,0.08589,2025-08-11 11:14
326343,0.0912,0.092,0.08866,0.08884,2025-08-11 11:15
442623,0.0916,0.09634,0.09128,0.09156,2025-08-11 11:16
371920,0.0899,0.09238,0.08708,0.0915,2025-08-11 11:17
162198,0.0912,0.0922,0.0893,0.08985,2025-08-11 11:18
151505,0.09216,0.09385,0.09095,0.09095,2025-08-11 11:19
236311,0.0888,0.0926,0.0877,0.09188,2025-08-11 11:20
137909,0.08754,0.09058,0.08737,0.0888,2025-08-11 11:21
180087,0.08904,0.08999,0.0863,0.08776,2025-08-11 11:22
96395,0.09036,0.09071,0.08754,0.08925,2025-08-11 11:23
120253,0.08897,0.09055,0.0883,0.09055,2025-08-11 11:24
118952,0.08932,0.0894,0.0875,0.08897,2025-08-11 11:25
132087,0.08614,0.0893,0.08555,0.08909,2025-08-11 11:26
120505,0.08527,0.08706,0.08512,0.08614,2025-08-11 11:27
204532,0.0861,0.08709,0.08499,0.08561,2025-08-11 11:28
75471,0.08656,0.08676,0.08519,0.08608,2025-08-11 11:29
90158,0.08596,0.08736,0.08539,0.08656,2025-08-11 11:30
103354,0.08531,0.0861,0.08419,0.08597,2025-08-11 11:31
58974,0.0855,0.086,0.08432,0.08531,2025-08-11 11:32
98047,0.08614,0.08662,0.08469,0.08517,2025-08-11 11:33
61264,0.08721,0.08741,0.08559,0.08619,2025-08-11 11:34
63021,0.08538,0.0873,0.08538,0.08688,2025-08-11 11:35
56160,0.0851,0.08596,0.0848,0.08538,2025-08-11 11:36
77458,0.0842,0.0851,0.08355,0.08493,2025-08-11 11:37
40077,0.08558,0.08565,0.084,0.0842,2025-08-11 11:38
26875,0.0864,0.08652,0.08538,0.08565,2025-08-11 11:39
30522,0.08625,0.0866,0.08568,0.0863,2025-08-11 11:40
98115,0.088,0.0883,0.08619,0.08625,2025-08-11 11:41
67782,0.08858,0.08948,0.08761,0.088,2025-08-11 11:42
87832,0.08653,0.0888,0.0865,0.08873,2025-08-11 11:43
47120,0.08702,0.08743,0.086,0.08659,2025-08-11 11:44
45200,0.08844,0.0887,0.08665,0.08702,2025-08-11 11:45
122674,0.0902,0.09068,0.0879,0.0884,2025-08-11 11:46
48640,0.08869,0.09075,0.0882,0.0905,2025-08-11 11:47
24742,0.08856,0.08928,0.08837,0.08869,2025-08-11 11:48
34578,0.0896,0.09,0.0884,0.08856,2025-08-11 11:49
25542,0.08924,0.0896,0.08804,0.08956,2025-08-11 11:50
19586,0.089,0.08945,0.08858,0.0892,2025-08-11 11:51
46624,0.08758,0.08959,0.0871,0.089,2025-08-11 11:52
27813,0.0879,0.08819,0.08716,0.08777,2025-08-11 11:53
27962,0.089,0.089,0.08766,0.08786,2025-08-11 11:54
32933,0.08906,0.08959,0.08785,0.089,2025-08-11 11:55
38281,0.08904,0.08983,0.08867,0.08897,2025-08-11 11:56
111167,0.08822,0.08927,0.08785,0.089,2025-08-11 11:57
218531,0.0918,0.09299,0.0881,0.08822,2025-08-11 11:58
