volume,open,high,low,close,datetime
3214805,0.0171,0.021,0.0155,0.021,2025-07-15 10:10
1258017,0.01787,0.01796,0.0168,0.0171,2025-07-15 10:11
1135609,0.01844,0.0186,0.0178,0.01787,2025-07-15 10:12
797809,0.0185,0.019,0.01808,0.0185,2025-07-15 10:13
994724,0.01828,0.0188,0.018,0.0184,2025-07-15 10:14
1853244,0.0173,0.0183,0.01671,0.01826,2025-07-15 10:15
1090642,0.01757,0.01775,0.01715,0.01733,2025-07-15 10:16
602384,0.01776,0.0178,0.0173,0.0175,2025-07-15 10:17
1090687,0.01835,0.0185,0.01771,0.01771,2025-07-15 10:18
1181150,0.01874,0.019,0.01825,0.01835,2025-07-15 10:19
756928,0.01886,0.019,0.01857,0.01871,2025-07-15 10:20
1608658,0.01938,0.01988,0.0185,0.01886,2025-07-15 10:21
872179,0.01935,0.0195,0.0188,0.01938,2025-07-15 10:22
748026,0.01859,0.01944,0.0182,0.01932,2025-07-15 10:23
729086,0.018,0.01882,0.01793,0.01854,2025-07-15 10:24
1564125,0.0176,0.018,0.01729,0.018,2025-07-15 10:25
1097334,0.01803,0.01815,0.01702,0.0176,2025-07-15 10:26
830424,0.01745,0.01839,0.01742,0.01795,2025-07-15 10:27
524721,0.01765,0.01808,0.01742,0.01745,2025-07-15 10:28
686759,0.01796,0.01812,0.01743,0.01765,2025-07-15 10:29
2952060,0.019,0.0197,0.01766,0.018,2025-07-15 10:30
1952635,0.01818,0.0191,0.018,0.01903,2025-07-15 10:31
1598096,0.01761,0.0186,0.01761,0.0182,2025-07-15 10:32
1392475,0.01791,0.01818,0.0175,0.01764,2025-07-15 10:33
702474,0.01826,0.0186,0.01785,0.01791,2025-07-15 10:34
530713,0.01795,0.01853,0.0178,0.0183,2025-07-15 10:35
580465,0.01824,0.0183,0.01772,0.018,2025-07-15 10:36
815067,0.01871,0.01889,0.0181,0.01824,2025-07-15 10:37
858646,0.01957,0.0196,0.0186,0.01871,2025-07-15 10:38
1147371,0.01943,0.0196,0.01891,0.01959,2025-07-15 10:39
642782,0.01894,0.01976,0.01884,0.01947,2025-07-15 10:40
387059,0.0192,0.01938,0.01876,0.01894,2025-07-15 10:41
960919,0.02021,0.02028,0.0191,0.01921,2025-07-15 10:42
929781,0.02049,0.02054,0.01994,0.02024,2025-07-15 10:43
709030,0.02012,0.0207,0.02012,0.02046,2025-07-15 10:44
580281,0.0207,0.02084,0.0201,0.02017,2025-07-15 10:45
880933,0.02069,0.02119,0.02068,0.02071,2025-07-15 10:46
759106,0.02144,0.02151,0.02056,0.02067,2025-07-15 10:47
832310,0.0212,0.02156,0.02106,0.02142,2025-07-15 10:48
952386,0.022,0.02204,0.0211,0.02124,2025-07-15 10:49
999872,0.02248,0.02251,0.02161,0.02196,2025-07-15 10:50
1587906,0.02285,0.02322,0.02241,0.02245,2025-07-15 10:51
947871,0.02383,0.024,0.02278,0.02283,2025-07-15 10:52
750837,0.02337,0.02384,0.02315,0.02378,2025-07-15 10:53
1472118,0.02455,0.02476,0.02324,0.02335,2025-07-15 10:54
2189655,0.02604,0.02619,0.02428,0.02453,2025-07-15 10:55
1773276,0.02527,0.02636,0.02502,0.02599,2025-07-15 10:56
1361915,0.02497,0.02569,0.02431,0.02532,2025-07-15 10:57
1913720,0.02458,0.02499,0.02356,0.02497,2025-07-15 10:58
1102976,0.02442,0.02523,0.02388,0.02458,2025-07-15 10:59
1343970,0.02423,0.0247,0.02367,0.02442,2025-07-15 11:00
969367,0.02398,0.02531,0.02371,0.0243,2025-07-15 11:01
744692,0.02429,0.02444,0.02367,0.02398,2025-07-15 11:02
945344,0.02367,0.02434,0.02337,0.02433,2025-07-15 11:03
816480,0.02418,0.02441,0.02343,0.02366,2025-07-15 11:04
491821,0.02448,0.02475,0.024,0.02419,2025-07-15 11:05
360308,0.02384,0.02456,0.0236,0.02452,2025-07-15 11:06
618276,0.02465,0.02484,0.0238,0.02386,2025-07-15 11:07
340858,0.02417,0.02475,0.02398,0.02466,2025-07-15 11:08
403755,0.02379,0.02421,0.02352,0.02418,2025-07-15 11:09
1043325,0.02311,0.02377,0.02291,0.02377,2025-07-15 11:10
1121577,0.02245,0.02323,0.0223,0.02308,2025-07-15 11:11
624890,0.02229,0.02246,0.02184,0.02244,2025-07-15 11:12
648396,0.02271,0.02284,0.02218,0.0223,2025-07-15 11:13
468933,0.02299,0.02312,0.02271,0.02271,2025-07-15 11:14
232450,0.0231,0.02317,0.0229,0.02299,2025-07-15 11:15
251594,0.02261,0.02335,0.02261,0.0231,2025-07-15 11:16
322930,0.02269,0.02288,0.02224,0.02261,2025-07-15 11:17
247161,0.02294,0.02309,0.02261,0.02267,2025-07-15 11:18
473740,0.02213,0.02299,0.02204,0.02293,2025-07-15 11:19
993387,0.02143,0.02225,0.0211,0.02212,2025-07-15 11:20
535957,0.02129,0.02148,0.02096,0.02146,2025-07-15 11:21
287411,0.02134,0.02141,0.02088,0.02129,2025-07-15 11:22
596360,0.02097,0.0214,0.02054,0.02134,2025-07-15 11:23
593049,0.02097,0.02105,0.02055,0.02097,2025-07-15 11:24
370946,0.0211,0.02113,0.02061,0.02101,2025-07-15 11:25
511828,0.02086,0.02113,0.0205,0.0211,2025-07-15 11:26
291663,0.02078,0.02089,0.02055,0.02086,2025-07-15 11:27
241823,0.02125,0.02135,0.02078,0.02078,2025-07-15 11:28
238286,0.0213,0.02143,0.02117,0.02128,2025-07-15 11:29
315353,0.02083,0.02132,0.02079,0.02129,2025-07-15 11:30
237009,0.02081,0.02129,0.02059,0.02086,2025-07-15 11:31
209090,0.02093,0.02104,0.02081,0.02081,2025-07-15 11:32
291775,0.02112,0.02132,0.0209,0.02093,2025-07-15 11:33
650376,0.02167,0.0218,0.02112,0.02112,2025-07-15 11:34
