volume,open,high,low,close,datetime
117339,0.03845,0.041,0.03836,0.041,2025-08-05 14:40
70169,0.039,0.03944,0.03831,0.03845,2025-08-05 14:41
110742,0.03624,0.03911,0.03615,0.039,2025-08-05 14:42
127545,0.03634,0.03704,0.03496,0.03624,2025-08-05 14:43
75434,0.03699,0.037,0.03622,0.03632,2025-08-05 14:44
122218,0.03798,0.0385,0.037,0.037,2025-08-05 14:45
55874,0.03736,0.03815,0.0366,0.03795,2025-08-05 14:46
54343,0.03678,0.03815,0.03643,0.03729,2025-08-05 14:47
70548,0.03519,0.03681,0.03496,0.03674,2025-08-05 14:48
122232,0.03505,0.03633,0.0342,0.03519,2025-08-05 14:49
90048,0.03418,0.03515,0.0338,0.03509,2025-08-05 14:50
71278,0.03481,0.03579,0.03406,0.03414,2025-08-05 14:51
66107,0.03526,0.03584,0.03475,0.03481,2025-08-05 14:52
43864,0.03447,0.03551,0.03412,0.03529,2025-08-05 14:53
55317,0.03488,0.03513,0.03387,0.03447,2025-08-05 14:54
51584,0.0356,0.03568,0.03476,0.03488,2025-08-05 14:55
67753,0.03443,0.0356,0.03443,0.0356,2025-08-05 14:56
35732,0.03537,0.03545,0.03449,0.03449,2025-08-05 14:57
91293,0.03711,0.03741,0.03537,0.03542,2025-08-05 14:58
42695,0.03591,0.03719,0.03571,0.03714,2025-08-05 14:59
83201,0.0362,0.03667,0.0356,0.03588,2025-08-05 15:00
98276,0.03707,0.03736,0.03563,0.03619,2025-08-05 15:01
146436,0.03759,0.03854,0.03702,0.0371,2025-08-05 15:02
93701,0.03674,0.03774,0.03664,0.03759,2025-08-05 15:03
91371,0.03689,0.0373,0.03636,0.0367,2025-08-05 15:04
79883,0.0364,0.0371,0.03607,0.03689,2025-08-05 15:05
59521,0.03647,0.03668,0.03604,0.0364,2025-08-05 15:06
67979,0.0366,0.03687,0.03589,0.03642,2025-08-05 15:07
57155,0.03633,0.03662,0.03615,0.03659,2025-08-05 15:08
62888,0.03569,0.03648,0.03544,0.03632,2025-08-05 15:09
69545,0.03531,0.03604,0.03524,0.03569,2025-08-05 15:10
67815,0.03548,0.0356,0.03484,0.0353,2025-08-05 15:11
46803,0.03592,0.03616,0.03515,0.03548,2025-08-05 15:12
52711,0.03651,0.03667,0.03562,0.03591,2025-08-05 15:13
64180,0.03565,0.03655,0.03552,0.03651,2025-08-05 15:14
86333,0.03584,0.036,0.03515,0.03563,2025-08-05 15:15
71722,0.03657,0.03666,0.03584,0.03584,2025-08-05 15:16
67917,0.03668,0.03698,0.0361,0.03654,2025-08-05 15:17
89364,0.03678,0.03737,0.03655,0.03668,2025-08-05 15:18
66824,0.03611,0.03681,0.03604,0.03677,2025-08-05 15:19
53369,0.0363,0.03644,0.036,0.03605,2025-08-05 15:20
53677,0.03664,0.03668,0.03617,0.0363,2025-08-05 15:21
41249,0.03655,0.03672,0.03634,0.03667,2025-08-05 15:22
28022,0.03653,0.03667,0.03637,0.03654,2025-08-05 15:23
49962,0.03703,0.0372,0.03638,0.03653,2025-08-05 15:24
22684,0.03699,0.03718,0.03668,0.03703,2025-08-05 15:25
37544,0.0367,0.037,0.03645,0.03699,2025-08-05 15:26
26227,0.03689,0.03699,0.03664,0.03667,2025-08-05 15:27
35941,0.03724,0.0373,0.03666,0.0369,2025-08-05 15:28
72766,0.03705,0.03755,0.03697,0.03724,2025-08-05 15:29
75766,0.03749,0.03749,0.03684,0.03705,2025-08-05 15:30
90285,0.03752,0.03804,0.03745,0.03745,2025-08-05 15:31
59163,0.03797,0.03813,0.0372,0.03752,2025-08-05 15:32
105368,0.0391,0.0392,0.038,0.03804,2025-08-05 15:33
100110,0.03968,0.0405,0.03888,0.0391,2025-08-05 15:34
128151,0.04095,0.04215,0.03955,0.03968,2025-08-05 15:35
113463,0.04199,0.04232,0.04015,0.04096,2025-08-05 15:36
107756,0.04169,0.04304,0.04111,0.042,2025-08-05 15:37
95672,0.0401,0.04175,0.0401,0.04172,2025-08-05 15:38
90960,0.0406,0.04085,0.03982,0.04015,2025-08-05 15:39
74841,0.04066,0.04104,0.04001,0.04063,2025-08-05 15:40
51930,0.04044,0.0408,0.04015,0.04068,2025-08-05 15:41
50089,0.04132,0.04141,0.04001,0.04044,2025-08-05 15:42
66171,0.04113,0.0413,0.04048,0.04129,2025-08-05 15:43
80284,0.04196,0.04245,0.04084,0.04111,2025-08-05 15:44
75612,0.04087,0.042,0.04055,0.04196,2025-08-05 15:45
64005,0.04083,0.04119,0.04039,0.04088,2025-08-05 15:46
49714,0.04036,0.0408,0.04025,0.0408,2025-08-05 15:47
54550,0.04026,0.04044,0.03987,0.04036,2025-08-05 15:48
50926,0.04081,0.04088,0.04005,0.0403,2025-08-05 15:49
55168,0.04088,0.04095,0.04037,0.04083,2025-08-05 15:50
