volume,open,high,low,close,datetime
34749,1.0845,1.1,1.0113,1.0113,2025-07-29 14:10
37191,1.0735,1.0845,1.052,1.0845,2025-07-29 14:11
20223,1.065,1.08,1.0456,1.0732,2025-07-29 14:12
36964,0.967,1.07,0.9632,1.0618,2025-07-29 14:13
56084,0.9224,0.9836,0.917,0.967,2025-07-29 14:14
68299,0.952,1.0144,0.9219,0.9219,2025-07-29 14:15
22276,0.9193,0.9766,0.9182,0.9523,2025-07-29 14:16
31776,0.8699,0.9292,0.8634,0.9194,2025-07-29 14:17
38404,0.8492,0.8778,0.8265,0.87,2025-07-29 14:18
27381,0.8394,0.8753,0.8272,0.8492,2025-07-29 14:19
15380,0.8563,0.8722,0.839,0.8409,2025-07-29 14:20
18046,0.8805,0.89,0.8542,0.8549,2025-07-29 14:21
19200,0.884,0.92,0.8761,0.8801,2025-07-29 14:22
15814,0.9006,0.9052,0.861,0.884,2025-07-29 14:23
14062,0.8881,0.91,0.8826,0.9001,2025-07-29 14:24
13603,0.8945,0.8992,0.8784,0.8881,2025-07-29 14:25
8762,0.8881,0.899,0.8802,0.895,2025-07-29 14:26
15900,0.8797,0.8982,0.875,0.888,2025-07-29 14:27
4937,0.8843,0.89,0.8755,0.8798,2025-07-29 14:28
9239,0.8724,0.898,0.8704,0.8838,2025-07-29 14:29
14318,0.8573,0.883,0.8542,0.8713,2025-07-29 14:30
9755,0.8521,0.8641,0.8384,0.8576,2025-07-29 14:31
16933,0.8458,0.858,0.8329,0.8517,2025-07-29 14:32
16799,0.8591,0.8618,0.8311,0.8447,2025-07-29 14:33
5909,0.8516,0.8611,0.8456,0.8597,2025-07-29 14:34
25582,0.8226,0.8568,0.8076,0.8538,2025-07-29 14:35
11177,0.8039,0.8366,0.8026,0.8225,2025-07-29 14:36
11788,0.8145,0.8238,0.8028,0.8042,2025-07-29 14:37
10045,0.8135,0.8188,0.8007,0.8138,2025-07-29 14:38
25673,0.8022,0.8136,0.7866,0.8136,2025-07-29 14:39
22788,0.7948,0.8019,0.7837,0.8016,2025-07-29 14:40
31577,0.7851,0.7993,0.78,0.7954,2025-07-29 14:41
32454,0.7788,0.7944,0.7732,0.7866,2025-07-29 14:42
33636,0.7801,0.7879,0.7672,0.7788,2025-07-29 14:43
26327,0.7945,0.8046,0.773,0.7818,2025-07-29 14:44
29177,0.7889,0.794,0.7785,0.794,2025-07-29 14:45
34000,0.8079,0.82,0.7861,0.7883,2025-07-29 14:46
27392,0.8031,0.8091,0.7952,0.806,2025-07-29 14:47
29576,0.809,0.8116,0.8012,0.8033,2025-07-29 14:48
26249,0.8061,0.8109,0.8025,0.8086,2025-07-29 14:49
28550,0.8,0.8093,0.7908,0.8069,2025-07-29 14:50
36848,0.7751,0.7992,0.7751,0.7978,2025-07-29 14:51
33147,0.7799,0.7817,0.7562,0.7762,2025-07-29 14:52
33616,0.7704,0.7917,0.7658,0.7786,2025-07-29 14:53
32604,0.773,0.776,0.7662,0.7708,2025-07-29 14:54
30758,0.7754,0.7785,0.7646,0.7726,2025-07-29 14:55
29749,0.7802,0.7836,0.7706,0.772,2025-07-29 14:56
25704,0.7761,0.7827,0.7713,0.7798,2025-07-29 14:57
28206,0.7887,0.7915,0.7745,0.7757,2025-07-29 14:58
21948,0.7791,0.7889,0.7753,0.7888,2025-07-29 14:59
31388,0.7935,0.8058,0.7721,0.7787,2025-07-29 15:00
28758,0.7978,0.801,0.7916,0.7929,2025-07-29 15:01
12153,0.7941,0.7974,0.79,0.7972,2025-07-29 15:02
2242,0.7826,0.7942,0.777,0.7936,2025-07-29 15:03
4163,0.7733,0.7822,0.7643,0.7822,2025-07-29 15:04
21863,0.7825,0.784,0.7718,0.7732,2025-07-29 15:05
23493,0.7911,0.7975,0.783,0.7834,2025-07-29 15:06
20219,0.791,0.7952,0.7792,0.7897,2025-07-29 15:07
2310,0.7917,0.7958,0.7863,0.7925,2025-07-29 15:08
2781,0.784,0.7924,0.7782,0.7924,2025-07-29 15:09
19341,0.783,0.7897,0.7769,0.7841,2025-07-29 15:10
17307,0.7876,0.7876,0.7673,0.783,2025-07-29 15:11
1441,0.7845,0.7895,0.7809,0.7881,2025-07-29 15:12
2619,0.7755,0.7836,0.7719,0.7833,2025-07-29 15:13
1689,0.7757,0.7793,0.7685,0.7744,2025-07-29 15:14
29916,0.7468,0.7776,0.7464,0.7757,2025-07-29 15:15
18209,0.7429,0.7565,0.736,0.7504,2025-07-29 15:16
5860,0.74,0.7448,0.7332,0.7426,2025-07-29 15:17
3253,0.7341,0.7407,0.7296,0.738,2025-07-29 15:18
4052,0.73,0.7359,0.7255,0.7348,2025-07-29 15:19
21007,0.7307,0.7394,0.7267,0.7291,2025-07-29 15:20
24995,0.7296,0.7331,0.725,0.7322,2025-07-29 15:21
27926,0.7268,0.7364,0.7244,0.7295,2025-07-29 15:22
37483,0.7245,0.7297,0.7187,0.7277,2025-07-29 15:23
2757,0.725,0.7267,0.722,0.725,2025-07-29 15:24
27693,0.7282,0.7314,0.7238,0.725,2025-07-29 15:25
21688,0.7285,0.7296,0.725,0.7282,2025-07-29 15:26
26524,0.7347,0.7376,0.7256,0.7275,2025-07-29 15:27
14700,0.7275,0.735,0.7256,0.7347,2025-07-29 15:28
14302,0.7269,0.7327,0.7257,0.7275,2025-07-29 15:29
11237,0.7307,0.7328,0.7269,0.7269,2025-07-29 15:30
29223,0.7358,0.7385,0.7271,0.7306,2025-07-29 15:31
