volume,open,high,low,close,datetime
364006.4,0.306,0.3724,0.1001,0.1001,2025-07-22 12:00
96590.8,0.3421,0.38,0.306,0.306,2025-07-22 12:01
15763.5,0.3483,0.3626,0.3326,0.3456,2025-07-22 12:02
22144.0,0.3688,0.37,0.3442,0.357,2025-07-22 12:03
34663.4,0.3447,0.37,0.334,0.37,2025-07-22 12:04
30622.0,0.3003,0.356,0.3,0.3559,2025-07-22 12:05
25058.7,0.33,0.3354,0.2905,0.3003,2025-07-22 12:06
32706.1,0.3108,0.3299,0.3008,0.3231,2025-07-22 12:07
58047.6,0.3,0.325,0.3,0.31,2025-07-22 12:08
44717.3,0.294,0.3053,0.29,0.3,2025-07-22 12:09
27226.0,0.308,0.3198,0.29,0.294,2025-07-22 12:10
16185.9,0.3088,0.315,0.2982,0.3,2025-07-22 12:11
71784.3,0.3,0.3158,0.3,0.3045,2025-07-22 12:12
40259.0,0.297,0.3045,0.2952,0.3,2025-07-22 12:13
55778.7,0.2992,0.3045,0.2889,0.2971,2025-07-22 12:14
15700.6,0.3069,0.31,0.2982,0.3019,2025-07-22 12:15
49728.8,0.2999,0.3086,0.2999,0.3069,2025-07-22 12:16
70976.9,0.3,0.3045,0.294,0.2999,2025-07-22 12:17
26125.6,0.2964,0.3006,0.2947,0.3,2025-07-22 12:18
31604.3,0.296,0.2999,0.296,0.2998,2025-07-22 12:19
24965.2,0.2985,0.3,0.296,0.297,2025-07-22 12:20
77241.5,0.3059,0.3195,0.296,0.2967,2025-07-22 12:21
44482.0,0.3128,0.3195,0.3052,0.3081,2025-07-22 12:22
49246.1,0.3267,0.33,0.3049,0.312,2025-07-22 12:23
49033.9,0.3261,0.328,0.311,0.32,2025-07-22 12:24
74464.1,0.317,0.34,0.308,0.3279,2025-07-22 12:25
99022.8,0.309,0.3168,0.306,0.3164,2025-07-22 12:26
72380.9,0.316,0.321,0.297,0.309,2025-07-22 12:27
40077.4,0.3208,0.34,0.3117,0.3157,2025-07-22 12:28
18879.8,0.322,0.322,0.3132,0.3181,2025-07-22 12:29
6887.0,0.3138,0.3201,0.3138,0.316,2025-07-22 12:30
34274.3,0.3116,0.3216,0.3116,0.3165,2025-07-22 12:31
16067.5,0.312,0.3139,0.3116,0.3122,2025-07-22 12:32
128755.1,0.3047,0.3143,0.3046,0.3121,2025-07-22 12:33
28657.6,0.3041,0.3074,0.298,0.3047,2025-07-22 12:34
22267.9,0.298,0.3041,0.298,0.3011,2025-07-22 12:35
27066.7,0.2971,0.3036,0.297,0.298,2025-07-22 12:36
32510.7,0.297,0.298,0.2875,0.2976,2025-07-22 12:37
10397.5,0.2808,0.2924,0.2808,0.2893,2025-07-22 12:38
14379.2,0.2835,0.2891,0.28,0.281,2025-07-22 12:39
45042.1,0.29,0.298,0.282,0.2844,2025-07-22 12:40
71572.4,0.308,0.335,0.29,0.29,2025-07-22 12:41
31585.7,0.3005,0.3105,0.292,0.308,2025-07-22 12:42
41381.5,0.32,0.328,0.297,0.2971,2025-07-22 12:43
23018.2,0.3268,0.3355,0.311,0.3181,2025-07-22 12:44
15294.1,0.3061,0.3211,0.301,0.3211,2025-07-22 12:45
33451.3,0.3075,0.311,0.298,0.3081,2025-07-22 12:46
22787.8,0.3152,0.318,0.3031,0.307,2025-07-22 12:47
6789.4,0.3103,0.3168,0.308,0.313,2025-07-22 12:48
3664.9,0.3133,0.3133,0.3085,0.31,2025-07-22 12:49
1553.3,0.3138,0.3149,0.3103,0.312,2025-07-22 12:50
21338.7,0.3164,0.32,0.3102,0.3121,2025-07-22 12:51
11733.4,0.3217,0.3245,0.314,0.3156,2025-07-22 12:52
13691.7,0.3172,0.3215,0.3147,0.3211,2025-07-22 12:53
6680.3,0.3,0.3169,0.3,0.3164,2025-07-22 12:54
26032.6,0.2968,0.3006,0.2943,0.2996,2025-07-22 12:55
15928.2,0.3089,0.3215,0.2963,0.2965,2025-07-22 12:56
6836.7,0.3097,0.3126,0.3089,0.3089,2025-07-22 12:57
1271.4,0.3018,0.306,0.3018,0.3053,2025-07-22 12:58
47413.8,0.2833,0.3038,0.27,0.3038,2025-07-22 12:59
85462.3,0.2568,0.2804,0.254,0.2804,2025-07-22 13:00
94150.2,0.2684,0.2737,0.254,0.2567,2025-07-22 13:01
101780.6,0.252,0.2735,0.252,0.2694,2025-07-22 13:02
99026.2,0.252,0.2639,0.2404,0.2609,2025-07-22 13:03
61085.6,0.246,0.2563,0.2376,0.25,2025-07-22 13:04
130814.4,0.248,0.2499,0.1958,0.246,2025-07-22 13:05
52080.1,0.249,0.2645,0.2436,0.25,2025-07-22 13:06
4559.0,0.2447,0.2541,0.2405,0.2491,2025-07-22 13:07
28910.7,0.2449,0.2538,0.238,0.2538,2025-07-22 13:08
57111.4,0.236,0.2499,0.225,0.247,2025-07-22 13:09
42229.9,0.236,0.2408,0.229,0.2361,2025-07-22 13:10
19732.6,0.2354,0.2387,0.233,0.2356,2025-07-22 13:11
8278.6,0.2421,0.2429,0.2333,0.2345,2025-07-22 13:12
10279.6,0.2331,0.242,0.233,0.2381,2025-07-22 13:13
15375.8,0.2394,0.24,0.233,0.2365,2025-07-22 13:14
15229.9,0.238,0.24,0.233,0.2379,2025-07-22 13:15
45395.4,0.2291,0.2411,0.229,0.2381,2025-07-22 13:16
26156.5,0.2282,0.2335,0.2222,0.2316,2025-07-22 13:17
8271.0,0.2222,0.24,0.2222,0.2327,2025-07-22 13:18
46075.4,0.2422,0.2623,0.226,0.226,2025-07-22 13:19
35322.4,0.2403,0.243,0.236,0.2416,2025-07-22 13:20
110258.9,0.25,0.2855,0.236,0.2403,2025-07-22 13:21
119363.3,0.2773,0.32,0.2421,0.25,2025-07-22 13:22
10630.1,0.2679,0.2731,0.2621,0.2731,2025-07-22 13:23
11687.1,0.278,0.285,0.2661,0.268,2025-07-22 13:24
23419.6,0.2672,0.2793,0.265,0.2695,2025-07-22 13:25
14925.1,0.2688,0.2736,0.2665,0.2672,2025-07-22 13:26
12304.0,0.2657,0.2739,0.264,0.2739,2025-07-22 13:27
79632.9,0.2676,0.32,0.2493,0.266,2025-07-22 13:28
18806.2,0.2641,0.2829,0.2641,0.2676,2025-07-22 13:29
13106.6,0.2617,0.2678,0.2591,0.2622,2025-07-22 13:30
10088.1,0.2587,0.2617,0.2547,0.2617,2025-07-22 13:31
35114.0,0.2611,0.2784,0.2583,0.2583,2025-07-22 13:32
70185.3,0.2759,0.289,0.26,0.2611,2025-07-22 13:33
11224.0,0.2661,0.276,0.2646,0.2758,2025-07-22 13:34
5980.2,0.2735,0.2735,0.2625,0.2717,2025-07-22 13:35
20925.9,0.2682,0.2784,0.2618,0.265,2025-07-22 13:36
29451.1,0.28,0.284,0.2664,0.2696,2025-07-22 13:37
121.4,0.2731,0.276,0.2731,0.276,2025-07-22 13:38
7893.3,0.2699,0.277,0.2699,0.2731,2025-07-22 13:39
11848.5,0.264,0.2699,0.264,0.2699,2025-07-22 13:40
17947.1,0.2613,0.2756,0.2613,0.264,2025-07-22 13:41
4501.8,0.274,0.2756,0.2669,0.2697,2025-07-22 13:42
6036.1,0.2728,0.2729,0.2671,0.2729,2025-07-22 13:43
10705.2,0.272,0.2737,0.2607,0.272,2025-07-22 13:44
3050.5,0.2641,0.2699,0.2641,0.2647,2025-07-22 13:45
4184.1,0.27,0.28,0.2699,0.2699,2025-07-22 13:46
166665.2,0.2519,0.28,0.227,0.27,2025-07-22 13:47
36691.5,0.2701,0.29,0.2519,0.2519,2025-07-22 13:48
3775.7,0.27,0.2709,0.2609,0.2701,2025-07-22 13:49
4700.5,0.2788,0.2788,0.255,0.2601,2025-07-22 13:50
7015.2,0.29,0.29,0.2669,0.2683,2025-07-22 13:51
5724.8,0.2887,0.2999,0.273,0.293,2025-07-22 13:52
3928.3,0.2795,0.2939,0.27,0.293,2025-07-22 13:53
1955.7,0.2725,0.2879,0.2681,0.2744,2025-07-22 13:54
2187.1,0.2793,0.2795,0.2727,0.2783,2025-07-22 13:55
2204.4,0.2794,0.2795,0.2721,0.2721,2025-07-22 13:56
24160.7,0.2808,0.2875,0.2723,0.2794,2025-07-22 13:57
30494.9,0.2783,0.2879,0.2774,0.281,2025-07-22 13:58
18213.9,0.2755,0.2809,0.2746,0.2804,2025-07-22 13:59
17089.6,0.268,0.2772,0.268,0.276,2025-07-22 14:00
8984.3,0.2691,0.2691,0.268,0.2685,2025-07-22 14:01
326.8,0.2686,0.2697,0.268,0.2688,2025-07-22 14:02
1032.6,0.268,0.2695,0.268,0.268,2025-07-22 14:03
226.0,0.2675,0.2694,0.2663,0.268,2025-07-22 14:04
5998.3,0.2625,0.2676,0.26,0.2662,2025-07-22 14:05
10082.5,0.261,0.2621,0.26,0.26,2025-07-22 14:06
9443.4,0.261,0.262,0.26,0.2615,2025-07-22 14:07
9004.3,0.2611,0.2617,0.26,0.2601,2025-07-22 14:08
8424.2,0.2565,0.2616,0.2565,0.2601,2025-07-22 14:09
2057.3,0.2566,0.2587,0.2566,0.2576,2025-07-22 14:10
1428.1,0.2577,0.2577,0.2566,0.2566,2025-07-22 14:11
5523.5,0.2545,0.2574,0.254,0.2571,2025-07-22 14:12
1560.4,0.254,0.2545,0.254,0.254,2025-07-22 14:13
7538.8,0.254,0.254,0.254,0.254,2025-07-22 14:14
856.4,0.254,0.254,0.254,0.254,2025-07-22 14:15
340.3,0.2505,0.2505,0.25,0.25,2025-07-22 14:16
18062.1,0.24,0.25,0.24,0.25,2025-07-22 14:17
6459.8,0.23,0.2374,0.2288,0.2374,2025-07-22 14:18
16402.2,0.23,0.2324,0.2299,0.2299,2025-07-22 14:19
25661.6,0.2269,0.2306,0.2266,0.2305,2025-07-22 14:20
10293.6,0.2215,0.2269,0.2208,0.2269,2025-07-22 14:21
13100.5,0.2163,0.2223,0.216,0.2215,2025-07-22 14:22
4504.0,0.2132,0.2164,0.2131,0.2163,2025-07-22 14:23
33377.6,0.2148,0.2163,0.2104,0.2132,2025-07-22 14:24
50878.7,0.22,0.235,0.2141,0.2165,2025-07-22 14:25
10699.2,0.2279,0.2279,0.22,0.22,2025-07-22 14:26
18568.3,0.23,0.234,0.2282,0.2284,2025-07-22 14:27
21926.8,0.2168,0.2273,0.2168,0.2273,2025-07-22 14:28
20275.6,0.2171,0.2171,0.2098,0.2158,2025-07-22 14:29
10998.0,0.2113,0.2168,0.2113,0.2164,2025-07-22 14:30
3095.9,0.2113,0.2118,0.2111,0.2118,2025-07-22 14:31
9889.9,0.21,0.2116,0.2098,0.2111,2025-07-22 14:32
28217.7,0.2007,0.21,0.1994,0.21,2025-07-22 14:33
14846.8,0.2025,0.2064,0.2022,0.2022,2025-07-22 14:34
18140.3,0.1897,0.2016,0.1893,0.2015,2025-07-22 14:35
57595.8,0.1965,0.201,0.1891,0.1897,2025-07-22 14:36
48484.1,0.2016,0.2062,0.1946,0.1947,2025-07-22 14:37
15153.9,0.2011,0.2016,0.1986,0.2016,2025-07-22 14:38
23677.0,0.2045,0.2054,0.199,0.2004,2025-07-22 14:39
40146.1,0.1962,0.2065,0.1951,0.2026,2025-07-22 14:40
41015.0,0.1969,0.2002,0.195,0.1967,2025-07-22 14:41
33738.8,0.195,0.1966,0.1928,0.1965,2025-07-22 14:42
18027.4,0.19,0.1954,0.1899,0.195,2025-07-22 14:43
33424.1,0.1936,0.1943,0.1877,0.1887,2025-07-22 14:44
21114.7,0.19,0.196,0.19,0.1936,2025-07-22 14:45
18317.7,0.198,0.199,0.1887,0.1899,2025-07-22 14:46
4204.0,0.2022,0.2034,0.1953,0.1989,2025-07-22 14:47
6412.9,0.204,0.2088,0.1973,0.2023,2025-07-22 14:48
5945.3,0.2067,0.2093,0.2002,0.2039,2025-07-22 14:49
12026.2,0.1976,0.203,0.1936,0.203,2025-07-22 14:50
10511.2,0.1986,0.2088,0.1936,0.1952,2025-07-22 14:51
1506.9,0.1952,0.1988,0.1936,0.1948,2025-07-22 14:52
8753.0,0.1927,0.1977,0.1927,0.1963,2025-07-22 14:53
2053.2,0.1925,0.1968,0.1875,0.1938,2025-07-22 14:54
1262.3,0.1848,0.193,0.1848,0.193,2025-07-22 14:55
1474.5,0.1869,0.1901,0.185,0.185,2025-07-22 14:56
2316.0,0.1919,0.1919,0.1871,0.1902,2025-07-22 14:57
12687.9,0.2029,0.2048,0.188,0.1891,2025-07-22 14:58
9360.3,0.2026,0.2033,0.188,0.2023,2025-07-22 14:59
2359.8,0.2008,0.2022,0.1971,0.201,2025-07-22 15:00
11280.5,0.21,0.21,0.1968,0.1987,2025-07-22 15:01
7065.3,0.2148,0.2153,0.2075,0.2079,2025-07-22 15:02
11744.3,0.2144,0.2173,0.2112,0.2144,2025-07-22 15:03
26807.7,0.2342,0.2342,0.2145,0.2173,2025-07-22 15:04
85412.4,0.2377,0.248,0.2294,0.2342,2025-07-22 15:05
13732.4,0.2275,0.2421,0.221,0.2393,2025-07-22 15:06
9823.0,0.2273,0.2273,0.2173,0.2255,2025-07-22 15:07
15770.0,0.2119,0.2262,0.2119,0.2232,2025-07-22 15:08
4622.1,0.2103,0.2153,0.2091,0.2119,2025-07-22 15:09
4432.6,0.219,0.219,0.2071,0.2088,2025-07-22 15:10
